Control_Count,Date_Replied,Status,Unique_identifier,Likely_to_recommend_Online_Site_MY_SITE,Purchased_from_Site_A,Purchased_from_Site_B,Purchased_from_Site_C,Purchased_from_Site_D,Purchased_from_Site_E,Purchased_from_Site_F,Purchased_from_Site_G,Purchased_from_Site_H,Purchased_from_Site_I,Purchased_from_Site_J,Purchased_from_Site_K,Purchased_from_Site_L,Purchased_from_Site_M,Purchased_from_Site_N,Purchased_from_Site_O,Purchased_from_Site_P,Purchased_from_Site_Q,Purchased_from_Site_R,Purchased_from_Site_S,Purchased_from_Site_T,Purchased_from_Site_U,Purchased_from_Site_V,Purchased_from_Site_W,Purchased_from_Site_X,Purchased_from_Site_Y,Purchased_from_MY_SITE_only,No_of_Online_Sites_used,MYSITE_Rank,Sales_reps_Responsiveness,Sales_reps_ease_of_making_contact,Sales_reps_general_attitude,Sales_reps_quotation,Sales_reps_relationship,Sales_reps_overall_satisfaction,Customer_service_Responsiveness,Customer_service_Ease_of_making_contact,Customer_service_general_attitude,Customer_service_Knowledge_of_business,Customer_service_issue_resolution,Customer_service_keeping_customers_informed,Customer_service_Overall_satisfaction,Delivery_on_time_schedules,Delivery_on_time_coverage,Delivery_on_time_keeping_customers_informed,Delivery_on_time_accuracy_transit_time,Delivery_on_time_availability_of_products,Delivery_on_time_speed,Delivery_on_time_Overall_satisfaction,Ease_of_business_booking,Ease_of_business_documentation,Ease_of_business_invoicing,Ease_of_business_online_system,Ease_of_business_overall_satisfaction,Improving_business_opps_knowledge_of_business,Improving_business_opps_understanding_of_needs,Improving_business_opps_demonstrating_opps,Improving_business_opps_specific_offers,Improving_business_opps_overall_satisfaction,Overall_Satisfaction_taking_everything_into_account,Proportion_of_purchase_made_with_MY_SITE,Future_proportion_of_purchase_made_at_MY_SITE
Day 8,28-08-2016,COMPLETED,71315024838154,7,1,1,1,,1,1,,1,1,1,1,1,,1,,1,1,,,,,,,,,,14,2,7,7,7,7,7,7,8,8,8,8,8,7,8,8,7,6,8,7,7,8,8,8,6,7,7,8,8,8,8,8,7,26% to 50%,Don’t know
Day 8,27-08-2016,COMPLETED,411315025021222,2,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,5,5,3,1,1,3,1,1,1,1,2,2,2,3,2,2,2,2,1,4,2,5,3,1,5,2,1,1,0,4,1,0,3,1% to 5%,Stay the same
Day 8,27-08-2016,COMPLETED,541315025046347,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,99,99,99,99,99,8,9,99,99,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,Don’t know,Don’t know
Day 8,27-08-2016,COMPLETED,1001315025341195,7,1,,,,,1,1,,1,,,,,,1,,,,,,,,,1,1,,8,5,9,9,10,9,10,9,1,8,1,1,1,5,1,10,10,2,10,10,10,8,9,0,7,2,6,10,10,10,9,8,5,51% to 75%,Stay the same
Day 8,28-08-2016,COMPLETED,911315025376209,6,,,,,,,,,,,,,,,1,,1,,,,,,,,,,3,2,6,5,6,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,3,4,7,4,6,5,5,4,5,5,6,51% to 75%,Stay the same
Day 8,27-08-2016,COMPLETED,461315025384293,4,1,1,1,,,1,1,1,1,1,,,,1,1,1,1,1,,,1,1,,1,,,17,17,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,99,4,0,1,51% to 75%,Decrease
Day 8,27-08-2016,COMPLETED,361315025602257,8,1,1,,,1,1,1,1,1,1,,,,,1,1,1,,1,1,,,,1,,,15,1,7,7,8,6,8,8,7,7,7,7,8,7,7,6,8,6,6,7,6,7,7,7,5,6,7,8,7,8,7,7,8,Prefer not to say,Prefer not to say
Day 8,27-08-2016,COMPLETED,21315025752206,5,,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,5,1,3,10,3,6,8,5,8,8,5,2,8,5,7,0,6,5,0,0,0,5,6,6,0,4,4,5,3,5,5,5,7,6% to 15%,Increase
Day 8,27-08-2016,COMPLETED,611315025831345,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,3,3,6,1,1,8,1,2,1,1,3,0,1,0,1,5,8,0,0,6,1,0,3,3,3,5,0,1,1,1,1,1,0,51% to 75%,Decrease
Day 8,28-08-2016,COMPLETED,931315025858269,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,99,99,99,99,99,99,9,99,9,9,9,99,9,99,99,99,99,99,9,99,9,9,8,9,9,99,99,99,99,99,8,51% to 75%,Don’t know
Day 8,28-08-2016,COMPLETED,61315026078215,7,,1,,,,,1,,1,,,,,1,1,1,1,1,1,,,,,,,,10,2,7,7,8,7,8,8,8,8,7,8,8,8,8,7,7,7,6,6,6,7,6,7,7,7,7,7,8,8,7,8,7,16% to 25%,Increase
Day 8,28-08-2016,COMPLETED,871315026209129,10,,1,,,,1,,,,,,,,,1,,,,1,1,,,,,1,,7,2,9,10,9,9,9,10,9,10,10,9,10,9,9,10,8,10,7,10,10,9,10,9,10,10,10,9,9,9,9,9,9,26% to 50%,Increase
Day 8,27-08-2016,COMPLETED,91315026536375,7,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,4,1,7,8,8,8,9,8,8,9,9,7,7,5,8,9,9,9,7,9,7,9,7,9,9,9,9,7,7,7,7,7,8,51% to 75%,Increase
Day 8,28-08-2016,COMPLETED,401315026567342,5,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,5,1,6,5,6,5,5,6,6,5,6,6,6,6,6,7,10,7,10,7,10,8,6,6,7,7,6,6,6,6,6,6,7,6% to 15%,Increase
Day 8,27-08-2016,COMPLETED,481315026630387,10,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,4,1,9,9,9,8,9,9,9,9,9,9,8,6,9,8,8,8,8,10,6,9,10,10,10,10,10,9,9,7,9,9,9,51% to 75%,Stay the same
Day 8,28-08-2016,COMPLETED,191315026730222,10,,1,,,1,,,,,,,1,,,,,1,,,,1,,,,,,6,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Don’t know,Increase
Day 8,27-08-2016,COMPLETED,791315026847131,8,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,4,2,10,10,10,10,10,10,10,10,7,8,5,8,10,10,10,7,8,5,8,10,10,6,8,7,8,9,8,5,8,5,8,16% to 25%,Don’t know
Day 8,27-08-2016,COMPLETED,861315026910182,2,1,1,1,,,1,1,,1,,,,,,1,,1,,,,,,1,,,,10,8,99,99,99,99,99,99,3,7,1,1,1,6,3,9,8,3,7,8,5,7,99,5,2,1,2,99,99,99,99,1,3,Don’t know,Decrease
Day 8,27-08-2016,COMPLETED,231315026911139,9,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,4,2,9,10,9,9,10,9,8,9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,9,10,9,26% to 50%,Increase
Day 8,28-08-2016,COMPLETED,61315027066105,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6% to 15%,Stay the same
Day 8,28-08-2016,COMPLETED,721315027165191,5,,,,,,,1,,1,,1,,,1,1,1,,,,1,1,,,,,,9,4,7,8,8,6,7,8,4,7,4,5,4,5,4,8,8,8,2,8,3,3,7,5,3,7,5,5,7,5,6,6,7,6% to 15%,Prefer not to say
Day 8,27-08-2016,COMPLETED,1001315027204399,10,,1,,1,,,1,1,1,,1,,,,1,1,,,,,1,1,1,1,,,13,1,10,10,10,10,10,10,9,8,9,9,9,8,9,10,10,9,10,10,99,10,10,10,10,10,10,10,10,10,10,10,10,1% to 5%,Increase
Day 8,28-08-2016,COMPLETED,471315027254188,0,,1,1,1,1,1,,1,1,,1,,,,1,1,,,,1,1,,1,1,,,15,1,0,0,99,0,99,0,0,0,0,3,0,0,0,4,5,0,5,1,4,4,2,5,1,7,4,99,0,0,99,0,0,6% to 15%,Decrease
Day 8,28-08-2016,COMPLETED,221315027324270,9,,1,,,,1,1,,1,,,,,1,,,,,1,1,,,,1,,,9,9,9,7,9,8,9,99,9,99,8,8,6,8,8,9,10,9,7,10,8,6,10,99,99,10,9,99,99,99,99,99,9,51% to 75%,Stay the same
Day 8,27-08-2016,COMPLETED,361315027418183,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,99,99,99,99,99,99,9,10,8,7,6,10,8,9,9,9,10,99,9,9,9,10,2,10,7,99,99,99,99,99,7,,Prefer not to say
Day 8,27-08-2016,COMPLETED,541315027458293,10,1,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,9,10,10,10,8,10,10,10,10,10,10,10,10,26% to 50%,Stay the same
Day 8,27-08-2016,COMPLETED,331315027510351,7,1,1,,1,,1,1,,1,,1,,,,1,,,,,,,,,,,,9,3,4,4,4,4,4,4,4,4,4,4,7,8,4,10,10,8,8,8,8,10,7,7,7,7,8,4,4,4,4,4,7,6% to 15%,Increase
Day 8,27-08-2016,COMPLETED,361315027528212,5,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,5,1,8,7,10,8,9,9,10,10,10,10,9,5,9,2,6,5,4,10,6,5,99,99,2,8,5,10,10,8,8,9,5,76% to 99%,Decrease
Day 8,27-08-2016,COMPLETED,381315027623277,8,1,1,1,,1,,1,1,,,1,1,,1,,,1,1,1,,1,1,1,1,,,17,8,8,7,8,8,7,8,7,8,8,8,8,9,8,7,9,8,8,9,7,8,7,7,8,7,7,7,7,7,7,7,8,1% to 5%,Stay the same
Day 8,27-08-2016,COMPLETED,51315028060256,9,,1,1,,1,,,1,1,1,1,,,1,1,,,,,,1,,,1,,,12,3,8,7,9,6,9,8,9,10,10,9,9,10,9,10,9,10,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,6% to 15%,Don’t know
Day 8,27-08-2016,COMPLETED,481315028088109,4,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,,,17,5,2,5,4,6,4,4,7,2,4,4,2,4,8,2,5,2,1,5,3,6,1,4,1,5,7,1,7,2,5,4,4,1% to 5%,Don’t know
Day 8,28-08-2016,COMPLETED,901315028099177,7,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,4,2,7,7,7,7,6,7,7,8,8,8,7,7,7,9,8,8,9,8,9,9,9,9,9,9,9,7,7,7,7,7,7,Prefer not to say,Increase
Day 8,28-08-2016,COMPLETED,671315028172125,9,1,1,1,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,10,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,10,7,7,8,7,9,9,9,10,9,8,7,7,7,7,8,26% to 50%,Stay the same
Day 8,28-08-2016,COMPLETED,811315028187291,5,1,,1,,1,1,,1,1,1,1,,,1,1,1,,,,,,,1,,,,13,8,8,7,9,7,9,8,7,7,8,7,7,2,7,7,9,8,7,7,2,6,9,9,9,9,9,8,9,8,8,8,8,Prefer not to say,Stay the same
Day 8,28-08-2016,COMPLETED,391315028224320,7,,1,,,1,1,,,1,,,,,,,,,,,1,,,,1,,,7,3,0,0,0,2,0,0,0,0,0,0,0,2,0,5,5,5,1,0,0,5,0,0,3,3,0,0,0,1,4,0,2,1% to 5%,Prefer not to say
Day 8,27-08-2016,COMPLETED,321315028309272,0,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,,1,1,,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,9,1,2,2,2,0,0,0,0,0,0,0,0,0,6% to 15%,Decrease
Day 8,28-08-2016,COMPLETED,741315028397107,8,1,1,,,1,1,,1,1,,,,,,,,1,,,,,,,,1,,9,1,9,8,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,26% to 50%,Increase
Day 8,28-08-2016,COMPLETED,301315028498211,2,1,,,,,,1,1,,1,1,,,,,,,,,,,,1,,,,7,7,2,0,3,0,1,0,2,0,3,4,0,2,1,7,6,2,6,6,4,6,6,2,0,5,2,6,5,2,1,1,0,1% to 5%,Increase
Day 8,28-08-2016,COMPLETED,811315028499304,5,,,,,,,,1,,1,1,,,1,,1,,,,,,,,,,,6,2,5,5,5,5,5,5,5,6,5,5,7,5,5,7,5,5,5,5,7,6,99,6,99,99,4,2,3,7,7,5,5,1% to 5%,Don’t know
Day 8,27-08-2016,COMPLETED,281315028715260,5,1,,,,,,,1,1,1,,,,1,,1,,,,,,,,,,,7,,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6% to 15%,Don’t know
Day 8,28-08-2016,COMPLETED,191315028981257,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,7,7,7,7,7,8,6,7,7,7,7,6,7,7,7,7,8,7,7,7,8,8,9,7,7,7,7,7,7,7,7,Prefer not to say,Prefer not to say
Day 8,27-08-2016,COMPLETED,441315029025266,3,,1,,,,1,1,,1,,1,,,1,1,1,1,,1,,,,,1,,,12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,99,99,99,99,99,99,99,4,99,99,99,3,3,3,2,3,3,3,Prefer not to say,Stay the same
Day 8,27-08-2016,COMPLETED,551315029086134,6,,1,1,1,1,1,1,1,1,,1,,,,1,1,,,,1,1,,1,1,,,16,3,8,8,8,5,8,7,4,4,4,5,5,5,5,8,7,6,8,8,5,7,2,4,6,8,5,7,9,7,6,7,6,Prefer not to say,Increase
Day 8,27-08-2016,COMPLETED,131315029100139,5,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,,1,,1,1,,,19,5,5,6,6,6,7,6,5,6,6,6,5,6,6,7,7,7,7,7,7,7,99,99,99,99,99,6,5,5,6,5,6,6% to 15%,Stay the same
Day 8,28-08-2016,COMPLETED,851315029104367,3,1,1,,,,,,,,,1,,,1,,,,,,,,1,1,,,,7,4,2,2,2,99,2,2,3,1,2,99,4,4,3,8,8,3,8,9,4,8,8,8,99,6,6,99,99,99,99,0,4,16% to 25%,Don’t know
Day 8,28-08-2016,COMPLETED,271315029220390,6,1,,,,,1,,1,,1,,,,,,,,,,,,1,1,1,,,8,,99,99,99,99,99,99,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,6,1,8,7,99,99,99,5,99,7,6% to 15%,Don’t know
Day 8,27-08-2016,COMPLETED,81315029394331,9,,1,,,,,,,1,,,,,,1,,,,,,,,,,1,,5,1,9,9,9,5,9,9,8,8,9,9,8,8,8,9,8,9,9,9,9,9,6,5,9,5,8,9,9,9,9,9,9,26% to 50%,Prefer not to say
Day 8,27-08-2016,COMPLETED,911315029417208,9,1,1,,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,,,1,,,17,6,8,8,8,6,8,8,6,6,7,7,6,6,6,7,8,6,7,6,7,6,7,6,7,7,7,8,8,7,7,7,7,1% to 5%,Prefer not to say
Day 8,28-08-2016,COMPLETED,961315029456391,7,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,1,8,8,9,7,9,8,8,7,8,8,7,6,8,9,10,9,9,9,10,9,6,7,6,5,7,9,9,8,9,8,8,51% to 75%,Increase
Day 8,27-08-2016,COMPLETED,521315029480304,9,1,1,,,,,,1,1,,,,,,1,1,1,,,,,1,,,,,9,2,9,9,9,99,10,9,9,9,9,9,9,10,9,8,99,9,9,8,9,8,10,9,8,10,9,9,10,99,10,9,9,Prefer not to say,Prefer not to say
Day 8,27-08-2016,COMPLETED,701315029639190,3,1,,,,1,1,,1,1,,,1,,,,,1,,,,1,1,1,1,,,12,7,7,5,5,7,5,5,6,7,6,5,2,2,5,2,8,2,2,2,3,3,7,99,7,7,4,3,3,3,3,3,3,6% to 15%,Decrease
Day 8,27-08-2016,COMPLETED,881315029651212,10,,1,,,,,1,,,,,,,,,,,,,,,,,,,,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,76% to 99%,Increase
Day 8,28-08-2016,COMPLETED,531315029678368,0,1,1,1,1,1,,1,1,1,,1,,,1,,1,1,,,,,,,,,,13,13,0,1,99,99,3,2,0,0,0,0,0,0,0,2,2,0,1,2,0,0,3,2,2,1,1,1,0,1,0,1,1,1% to 5%,Stay the same
Day 8,28-08-2016,COMPLETED,291315029942207,8,1,,,,,,,1,,1,,,,,,1,,,,,,,,,,,5,2,9,9,10,9,9,10,6,2,7,7,5,8,6,8,9,3,6,9,6,8,9,9,9,10,9,10,10,10,9,10,9,16% to 25%,Increase
Day 8,27-08-2016,COMPLETED,901315029964353,5,1,1,1,,1,1,,1,,1,1,,,,1,,1,,,,1,,,,,,12,5,99,99,99,99,99,99,8,8,8,8,9,9,8,5,6,3,5,99,5,6,99,7,7,5,6,99,99,99,99,99,7,6% to 15%,Don’t know
Day 8,27-08-2016,COMPLETED,901315030202109,8,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,,,,,,,,,14,5,8,9,10,4,8,9,8,8,8,8,8,8,8,9,10,8,9,10,9,8,8,10,5,10,8,8,8,8,8,8,8,6% to 15%,Don’t know
Day 8,27-08-2016,COMPLETED,621315030228117,0,,1,,,,,1,,1,,1,,,1,1,1,,,,,1,,,1,,,10,7,9,9,9,99,9,9,2,6,4,5,3,7,5,7,7,5,5,8,7,7,7,9,5,10,3,5,4,5,8,7,7,Don’t know,Don’t know
Day 8,28-08-2016,COMPLETED,481315030251366,6,,1,,,,,,1,,,,,,,1,1,,,,,,,,1,,,6,6,9,8,7,8,8,8,9,6,5,7,4,2,6,6,7,6,7,7,7,7,6,6,5,4,5,8,8,8,8,8,6,16% to 25%,Don’t know
Day 8,28-08-2016,COMPLETED,471315030260318,6,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,4,4,6,6,7,5,6,6,6,6,7,7,6,99,7,9,9,99,9,9,9,9,6,6,6,5,6,6,6,6,6,6,7,1% to 5%,Stay the same
Day 8,27-08-2016,COMPLETED,891315030336170,10,,,,,,,1,,1,,1,,,,,,1,,,,,,1,,,,6,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,9,10,10,5,10,7,9,10,10,10,9,9,16% to 25%,Increase
Day 8,27-08-2016,COMPLETED,591315030482390,7,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,26% to 50%,Increase
Day 8,28-08-2016,COMPLETED,101315030860200,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,8,8,9,8,8,8,8,8,9,8,7,8,8,9,9,10,7,7,8,8,7,8,7,7,8,8,8,8,8,9,8,Prefer not to say,Prefer not to say
Day 8,27-08-2016,COMPLETED,551315031075280,8,,1,,,1,,1,,1,,1,,,,1,1,1,,,,,,1,,,,10,5,6,6,4,5,6,6,5,6,5,3,2,5,5,1,7,1,1,8,1,1,8,3,3,99,3,5,5,5,5,5,5,16% to 25%,Stay the same
Day 8,28-08-2016,COMPLETED,531315031119152,9,,,,,1,,,,1,,,,,,,,,,,,,,,,,,3,3,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,9,10,10,10,10,10,10,10,10,9,Prefer not to say,Don’t know
Day 8,27-08-2016,COMPLETED,661315031121314,5,,1,,1,,,1,,1,,,,,,1,,,,,,,,,1,,,7,3,7,5,7,7,7,7,7,6,7,6,99,99,7,7,7,7,7,7,7,7,99,99,99,5,5,6,6,6,6,6,6,Don’t know,Don’t know
Day 8,27-08-2016,COMPLETED,231315031153274,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,1,1,1,,1,1,,,20,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,Prefer not to say,Decrease
Day 8,27-08-2016,COMPLETED,691315031289327,8,,1,,,,,1,,1,,1,,,1,1,,,1,1,,,,,,,,9,1,99,99,99,99,99,99,6,5,6,8,6,5,6,6,7,5,6,6,6,6,99,7,99,7,7,99,99,99,99,99,6,Don’t know,Increase
Day 8,27-08-2016,COMPLETED,771315031373148,3,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,3,5,5,5,5,5,5,4,6,6,6,6,6,6,9,9,7,5,4,7,6,7,7,7,7,7,8,7,4,6,7,5,16% to 25%,Stay the same
Day 8,27-08-2016,COMPLETED,11315031404120,3,,1,,,,,,1,1,,1,,,,,1,1,,,,,,1,,,,8,8,99,99,99,99,99,99,5,4,5,5,0,8,5,5,5,5,5,5,5,5,6,6,0,6,6,5,5,5,5,2,6,Don’t know,Decrease
Day 8,28-08-2016,COMPLETED,231315031412102,10,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,,,1,,,18,1,5,7,8,5,6,8,5,7,8,8,8,8,7,8,9,8,9,6,9,8,8,8,8,8,8,8,8,7,8,8,8,16% to 25%,Stay the same
Day 8,28-08-2016,COMPLETED,791315031487130,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,6,4,6,6,5,6,5,5,5,6,4,5,9,10,8,9,8,9,9,8,6,4,8,7,4,4,4,4,4,7,Prefer not to say,Don’t know
Day 8,28-08-2016,COMPLETED,761315031670191,2,1,1,,,,,1,1,1,,1,,,,1,1,1,,,,,,,,,,10,8,5,5,5,5,5,5,1,4,3,4,2,5,2,5,7,5,5,5,5,6,5,4,4,5,4,5,5,5,5,5,3,1% to 5%,Stay the same
Day 8,27-08-2016,COMPLETED,71315031777227,6,,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,5,4,99,7,9,99,9,7,5,5,5,5,5,5,5,6,99,7,99,7,6,7,99,8,3,8,99,7,7,7,99,8,7,Prefer not to say,Don’t know
Day 8,28-08-2016,COMPLETED,681315031791350,10,1,1,,,,1,,,1,,1,,,1,,1,,,,,,,,,,,8,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16% to 25%,Increase
Day 8,27-08-2016,COMPLETED,41315031795195,3,1,1,,1,,,1,1,1,1,1,,,1,1,,,,1,,1,,,1,,,14,6,8,8,8,8,8,8,4,4,4,4,4,4,4,7,8,8,6,6,7,7,7,6,2,5,3,8,8,8,8,8,4,16% to 25%,Decrease
Day 8,28-08-2016,COMPLETED,991315031874221,5,,,,,,1,,1,,,,,,,,,,,,,,,,,,,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,5,9,99,9,9,99,5,5,5,0,99,99,99,99,99,5,76% to 99%,Stay the same
Day 8,28-08-2016,COMPLETED,81315031941225,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,9,9,9,9,9,9,10,10,9,10,10,9,10,9,10,9,10,10,9,9,9,9,10,9,8,8,8,8,8,10,,Don’t know
Day 8,28-08-2016,COMPLETED,761315031977297,4,,,1,,,1,,,,,,,,1,,,1,,,,,1,,,,,6,5,99,99,99,99,99,99,6,7,7,7,6,5,7,7,7,7,7,6,8,7,5,7,7,5,6,6,6,6,6,6,6,1% to 5%,Don’t know
Day 8,27-08-2016,COMPLETED,231315032105204,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,7,4,4,8,8,8,8,8,8,8,9,6,7,8,9,7,7,6,8,9,7,7,5,5,5,5,5,6,,Don’t know
Day 8,27-08-2016,COMPLETED,651315032178251,0,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,5,5,10,10,10,5,5,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,51% to 75%,Decrease
Day 8,28-08-2016,COMPLETED,501315032465368,7,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,,,,7,3,7,7,7,6,6,7,7,4,8,8,5,4,6,8,8,4,9,8,8,8,99,6,4,5,6,6,99,99,99,99,6,Prefer not to say,Prefer not to say
Day 8,28-08-2016,COMPLETED,961315032474359,10,,1,,,1,1,1,1,1,1,,,,,1,1,,,,,,,1,1,,,12,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1% to 5%,Increase
Day 8,27-08-2016,COMPLETED,291315032652334,0,,1,1,,1,1,1,,1,,1,,,,1,1,1,,,,,,,1,,,12,1,99,0,99,99,0,0,1,1,0,99,0,0,0,0,99,0,4,99,4,3,99,0,0,0,0,99,99,99,99,99,0,51% to 75%,Decrease
Day 8,27-08-2016,COMPLETED,361315032889170,7,,1,,,1,,1,,1,,,,,,1,,,,,,,,1,,,,7,,9,10,10,5,10,9,5,6,5,5,6,6,5,8,6,5,5,8,8,6,8,6,6,7,7,7,8,8,8,7,7,26% to 50%,Increase
Day 8,28-08-2016,COMPLETED,571315032962320,8,1,1,1,,,1,,,1,1,,,,,1,,,,,,,1,,1,,,10,1,10,10,8,10,10,10,4,7,8,8,8,4,6,8,6,8,8,8,8,8,7,7,8,5,6,10,10,10,10,10,8,Prefer not to say,Prefer not to say
Day 8,28-08-2016,COMPLETED,921315032964321,6,,,1,,,1,,1,,,,,,,1,,,,,,,,,,,,5,,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,6,6,7,7,7,8,6% to 15%,Stay the same
Day 8,28-08-2016,COMPLETED,461315033177292,5,,,1,,1,,,1,1,1,,,,,,,,1,,,,,,,1,,8,,10,10,10,10,10,9,5,9,5,5,2,1,3,8,8,2,8,8,10,5,0,3,3,0,2,8,7,7,8,9,5,1% to 5%,Stay the same
Day 8,27-08-2016,COMPLETED,391315033182199,2,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,5,5,5,6,6,3,8,4,2,2,0,0,0,0,1,6,6,1,3,6,6,5,5,2,2,1,1,6,6,6,6,6,2,6% to 15%,Decrease
Day 8,27-08-2016,COMPLETED,51315033262147,10,1,1,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,8,1,99,99,8,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,16% to 25%,Stay the same
Day 8,28-08-2016,COMPLETED,501315033355342,5,,1,1,1,1,1,,,1,,,,,,1,,1,,1,1,1,,1,,,,13,6,5,6,7,7,6,7,6,4,4,6,5,4,5,5,4,5,6,5,6,5,6,7,7,5,7,6,8,7,7,7,7,16% to 25%,Increase
Day 8,27-08-2016,COMPLETED,381315033390391,10,1,1,,,,,,1,,,,,,,1,,,,1,,1,1,,,,,8,8,0,0,7,0,0,2,0,0,5,0,5,10,5,10,10,10,10,10,10,10,10,10,10,10,10,9,5,5,0,6,7,26% to 50%,Stay the same
Day 8,28-08-2016,COMPLETED,411315033619358,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Increase
Day 8,28-08-2016,COMPLETED,751315033766115,5,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,,1,,,19,10,3,4,10,10,2,3,5,10,5,5,2,4,5,5,10,5,5,5,5,5,5,2,5,5,5,2,2,2,2,2,4,6% to 15%,Stay the same
Day 8,27-08-2016,COMPLETED,621315033809332,6,,1,,,,,1,,,,1,,,1,1,,,,,,,,,,,,6,4,8,8,8,8,8,8,6,7,6,5,5,7,5,7,8,8,7,6,7,6,7,8,7,8,7,8,8,8,8,8,6,6% to 15%,Stay the same
